kata,label,urutan_kata,total_kata
CF,not_color,1,4
QTFLEX,not_color,2,4
W,not_color,3,4
CBLACK/CBLACK/TRAPNK,color,4,4
RACER,not_color,1,4
TR,not_color,2,4
INF,not_color,3,4
SCARLE/CBLACK/FTWWHT,color,4,4
RACER,not_color,1,4
TR,not_color,2,4
INF,not_color,3,4
PETNIT/CBLACK/FTWWHT,color,4,4
RACER,not_color,1,4
TR,not_color,2,4
INF,not_color,3,4
SUPPNK/CBLACK/FTWWHT,color,4,4
ADILETTE,not_color,1,3
SHOWER,not_color,2,3
CBLACK/FTWWHT/CBLACK,color,3,3
ADILETTE,not_color,1,3
SHOWER,not_color,2,3
CONAVY/FTWWHT/CONAVY,color,3,3
POD,not_color,1,4
S3.1,not_color,2,4
C,not_color,3,4
CBLACK/CBLACK/LEGIVY,color,4,4
X_PLR,not_color,1,3
J,not_color,2,3
GREONE/FTWWHT/FTWWHT,color,3,3
ADILETTE,not_color,1,4
CF,not_color,2,4
ULTRA,not_color,3,4
CBLACK/CBLACK/CBLACK,color,4,4
GOLETTO,not_color,1,4
VI,not_color,2,4
FG,not_color,3,4
CBLACK/FTWWHT/SOLRED,color,4,4
GOLETTO,not_color,1,4
VI,not_color,2,4
IN,not_color,3,4
CBLACK/FTWWHT/SOLRED,color,4,4
ADILETTE,not_color,1,4
CF,not_color,2,4
ULTRA,not_color,3,4
CONAVY/CONAVY/CONAVY,color,4,4
KYASO,not_color,1,3
ADJ,not_color,2,3
CBLACK/FTWWHT/CBLACK,color,3,3
KYASO,not_color,1,3
ADJ,not_color,2,3
SHOBLU/CONAVY/CONAVY,color,3,3
VOLOOMIX,not_color,1,2
CBLACK/SILVMT/CBLACK,color,2,2
